Review,Polarity,Town,Region,Type
"Estuve una sola noche y me bastó. No tiene teléfono, ni cofre fort, ni ventilador , menos aire acondicionado, es viejo y descuidado. No hay maletero. El desayuno, pan viejo, café como caldo sucio, mermelada no se sabía de qué y un jugo de naranja. No hay restaurant, todo lo ofrecido es una gran mentira Hice la denuncia en mi país, Uruguay.",1.0,Taxco,Guerrero,Hotel
"La ventaja: Ubicación en la playa, en el exterior, amplio menú. Ceviche era de primera clase. Interesante variedad de chips de maíz en todo.

En contra: guacamole bastante soso y inspiraron con una losa de queso mozzarella de plástico como insípida.

Doble: la hora menos...que recibimos fue claramente no la nuestra (casi el doble de la cantidad que esperábamos). La próxima versión incluía todo lo que habíamos pedido, además de unos 4 platos adicionales. Sólo después de que los artículos marcados exactamente que habíamos pedido no recibimos la hora correcta. Me gustaría pensar que era un error lamentable, pero normalmente esto habría sido corregida la primera vez. Tal vez pensaron que después de un par de copas la mayoría de la gente se paga sin tener que buscar? Hay un montón de sitios para comer aquí que no prueba su confianza en este camino.Más",2.0,Tulum,QuintanaRoo,Restaurant
"El hotel es muy bonito, está alejado del pueblo por lo que no hay ruido, si deciden ir al spa hagan la gruta de los sentidos, los masajes son muy buenos; el restaurante tiene una vista espectacular y la comida es rica.",1.0,Tepoztlan,Morelos,Hotel
"Bonito museo que te mostrará un poco de historia y piezas hechas en cerámica, las cuales son importantes en la región. Además del lugar, los guías suelen contar historias sobre el lugar ",4.0,Tlaquepaque,Jalisco,Attractive
"Compartimos un burrito y una ensalada, que eran ambos deliciosos ... Pero el guacamole fresco y las patatas fritas eran. El. Hook. ellos. No te arrepentirás. Buen servicio y buena ubicación céntrica.",4.0,Sayulita,Nayarit,Restaurant
"Si has leído mucho sobre mayas y espero que no puede verse en su entorno cotidiano, katching algunos vista de los colores vivos y frisos que adornan sus edificios, estarás decepcionado. Como Chichen Itza cualquier edificio individual está vallada. No te lo suficientemente cerca del castillo de percibir los frisos de Kukulkan que están allí, pero demasiado Fa lejos para ser perspicaz. El experto permanecerá un secreto para los ojos y dejará ""deshechos'.Si quieres disfrutar de un más ""viaje gratis a la Maya es que me gustaría riccomand Ek Balam (a 30 minutos de Valladolid y a unas dos horas de Tulum).  Es el único 'sin cerca' bien conservada zona en el territorio, donde podrá ver la bouilding de cerca y entrar en ellos también ...",2.0,Tulum,QuintanaRoo,Attractive
"El lugar es único en su tipo debido a q esta ubicado en ""una gruta"" a las afueras del sitio arqueológico de Teotihuacán, con decoración típica y multicolor. Muy surrealista.
Se recomienda reservar sobre todo el fin de semana a menos que quieras estar en...Más",4.0,Teotihuacan,Estado_de_Mexico,Restaurant
las habitaciones no cuentan con aire acondicionado y es sofocante el calor en ciertas epocas de año no puedes dormir por que no corre el aire en las habitaciones y el ventilador que te proporcionan es muy pequeño y no sirve de nada el hotel y las areas recreativas son muy agradables y la comida buena,3.0,Ajijic,Jalisco,Hotel
"Mi error fue esperar mucho de una cadena de hoteles q en mi opinión dejan mucho que desear en su servicio e instalaciones. Desde el principio nunca pudieron localizar mi reserva que había hecho con anterioridad, no me dieron los boletos para el desayuno el cual venía incluído en la tarifa que pagué. Sus habitaciones huelen a humedad, el servicio de spa PESIMO!...reservé un masaje de 90 minutos cuando a lo mucho duró 60 minutos. La alberca es muy pequeña y su servicio de bar en esta es malísimo. En general el hotel no vale la pena por el costo de su tarifa, en ese caso, es mejor gastar un poco más e irse al Rodavento.",2.0,Valle_de_Bravo,Estado_de_Mexico,Hotel
"El servicio que me dieron fue excelente, educado y muy atento aunque no había reservado, pero la comida me dejó bastante decepcionada: la pizza mala, el queso que usan es pésimo, el carpaccio de betabel nisiquiera puede llamarse carpaccio: el corte es grueso, la vinagreta...Más",2.0,Valle_de_Bravo,Estado_de_Mexico,Restaurant
"Restaurante muy lindo y romantico. Aunque si vas sin reserva los tiempo de espera son muy altos. Aunque la comida es buena, lo mejor del restaurante es la locacion y el ambiente",4.0,Teotihuacan,Estado_de_Mexico,Restaurant
"Iba a tener un evento en uno de los salones pero a la hora de hacer la renta no me quisieron dar el servicio por que las personas que iban a ir son indígenas y que no tenían clase para ir al hotel, el clasismo y racismo no es agradable",2.0,San_Cristobal_de_las_Casas,Chiapas,Hotel
"Llegamos, y la persona que nos dio la bienvenida nos hizo pasar, pero insinuando que ya era muy tarde. El mesero que nos sirvió, nada atento. Le pedimos un par de platillos, divididos en dos platos, y se mostró molesto diciendo que si lo dividíamos...Más",1.0,TodosSantos,Baja_CaliforniaSur,Restaurant
"Mi esposa y yo nos alojamos en XBULU-HA por segunda vez durante 10 días, sep-2015 oct. Una vez más, el personal era muy agradable, servicial y siempre sonriente. Juan Carlos y su esposa, así como Gabriel, no podría haber sido más complaciente. El diwnside es que está situado a unos 2 campos de fútbol del agua, pero una vez más, si estuviese más cerca no sería como econimical.",5.0,Isla_Mujeres,QuintanaRoo,Hotel
"Llegamos a Huasca para pasar un rato de calma y descanso. Conseguimos hotel y enseguida salimos mi pareja y yo a buscar algo de cenar. Se me ocurrió entrar a este hotel restaurante, tenía buena pinta. Al entrar, nos mencionaron que esperáramos un momento, ya...Más",1.0,Huasca_de_Ocampo,Hidalgo,Restaurant
"Lugar increíble, con una vista insuperable de la bellísima laguna de Bacalar, excelente comida, precios muy razonables y para los amantes de los árboles, un Pix monumental de más de 300 años, el único sobreviviente del último huracán que azotó la zona hace de Kai...Más",5.0,Bacalar,QuintanaRoo,Restaurant
"La comida es típica mexicana, bastante buena. El lugar va es colonial. El servicio es lento. Pero si tienes tiempo y quieres comer rico, sin duda ese este es el lugar.",1.0,Zacatlan,Puebla,Restaurant
"Si buscas un lugar con menos gente para compartir camino del agua, este es el lugar! Este fue básicamente una gran cueva en metro con agua frescas, el techo era 30 - 40 pies de alto. Así que estamos nadando con estalactitas y raíces de los árboles por encima de nosotros colgando sobre. Increíble. Un gran lugar para refrescarse después de los días de explorar las ruinas en el calor.",5.0,Valladolid,Yucatan,Attractive
"no mantener ha hecho nada pero la hacienda su propia. La casa es muy pequeña, 3 habitaciones y un techo patio. No hay vistas desde la azotea, un montón de senderos todo el ritmo pero en un pobre mantenimiento y las antiguas jaulas de animales están sentados ruinas ahora. todo el tiempo caminamos por los senderos un 10 años muchacho fue asignado a monitor nosotros, no hablaba inglés y era sólo un poco más espeluznante de lo necesario.",1.0,Isla_Mujeres,QuintanaRoo,Attractive
"El personal muy amable pero las instalaciones no muy buenas, los cuartos buenos pero no había ninguna mesa en la que pudiéramos tomar una copa y jugar cartas",3.0,Valladolid,Yucatan,Restaurant
"Se ha perdido totalmente la tradición. Desde que se llega a las lanchas van demasiados jovenes con la intensión de beber, fumar mariguana, haciendo ruido, gritando groserías. Uno piensa con respeto del lugar, pero la msma gente de ahí ha perdido la tradición, las pocas personas que la conservan se molestan por tanto desorden. Es mejor ir a otros panteones menis concurridos por gente de ese Estado porque los turistas tenemos mas respeto que ellos.",1.0,Patzcuaro,Michoacan,Attractive
"Llegamos por casualidad ya que en el Hotel de Los Morales, nos cancelaron una semana antes a pesar de haber reservado desde enero y al conseguir éste hotel, todo el tiempo fuimos atendidos de una manera excelente, especialmente de parte de la Señorita Brenda, nos dieron muy buenas habitaciones, amplias, limpias y con muy buenos servicios, a ésto  hay que sumar que el lugar es vasi un museo. En lo que respecta a las comidas, muy sabrosas, la atención de parte del personal fue excelente y todo de muy buena calidad. A pesar de ser un grupo grande, siempre el personal estuvo en la mejor disposición para atenderlo y además nos ofertaron precios muy accesibles.",5.0,San_Cristobal_de_las_Casas,Chiapas,Hotel
"Tuvimos que caminar por las ruinas de la lluvia, pero aún así nos lo pasamos muy bien por allí, ya que son muy diferentes a los demás como los mayas o Teotihuacan",5.0,Cuetzalan,Puebla,Attractive
"Esta es nuestra segunda (y último) visita a este hotel. Lo elegimos porque la ubicación y el precio. Nos alojamos en la parte más antigua en la 3ª planta. La habitación estaba limpia pero pequeñas y anticuadas, con 2 camas dobles, una pequeña mesa de noche entre, una pequeña mesa contra la pared con una silla, no bureau de estanterías, un pequeño armario con 5 perchas y un mini frigorífico. El baño es tan pequeña que la ducha, cuando se utilizan (no cortina) vaporizaciones agua por todo el lugar. Por favor deshacerse de las colchas de poliéster. Wi-Fi disponible sólo en el restaurante. Pero la razón principal por la que no volvería es el servicio, especialmente en el restaurante. El desayuno continental básico incluido, zumo enlatado, té o café, 2 tostadas con una porción de",3.0,Isla_Mujeres,QuintanaRoo,Hotel
"Fuimos en familia a comer a este lugar. Decidimos no pedir Bufet pues se nos hizo caro: 225 pesos por persona sin incluir ningún tipo de bebida. Y como no acostumbramos comer mucho, decidimos que cada quien ordenara el platillo que apareciera, además de que...Más",3.0,Tepotzotlan,Estado_de_Mexico,Restaurant
"Excelente ubicacion y servicio. E he hospedado varias veces aqui y nunca ha habido queja,. El edificio es viejo, asi como sus instalaciones pero muy bien cuidados y todo funciona muy bien. Conexion Wi Fi muy buena. Mobiliario y amenidades podrian mejorar, se ven viejos y gastadod  El petsonsl excelente.",4.0,Valladolid,Yucatan,Hotel
"Una michelada llamada ojos rojos, riquísima! La mejor que he probado! Es hna mezcla de salsas y clamato, con la cerveza de su preferencia.
También el huarache de arrachera es super recomendado!",5.0,Bacalar,QuintanaRoo,Restaurant
"El desayuno era excelente, con escasa sustanciales. Café refrescos fantástica. La relación calidad-precio bastante buena para la calidad comparado con otros de la isla.",5.0,Isla_Mujeres,QuintanaRoo,Restaurant
"El lugar es muy agradable, sobre todo si te ponen una mesa enmedio del jardín, bajo la sombra de los árboles. Tienen varios pavos reales y algunos tipos poco comunes de gallinas y gallos, que alegran el ambiente con su canto; a veces son un...Más",3.0,Ajijic,Jalisco,Restaurant
"La zona arqueologica de Tulum, se encuentra a 10 minutos de Tulum Pueblo o a 40 minutos de Playa del Carmen, para este paseo que es de al menos, para medio dia, deberás llevar zapatos comodos (de preferencia tenis), agua, bloqueador y por supuesto, la camara !!!Llegando a la zona arqueologica, te sugiero que tomes el camioncito que está en la puerta y que te llevara hasta el inicio del la zona como tal (te cuesta como 15 pesos), si decides caminar ese tramo, vas a cansarte un poco ya que si es algo distante desde la puerta hasta la entrada a las piramides.Una vez que el camión te deja en la taquilla, deberás comprar tu boleto de admisión a la zona arqueologica que cuesta $ 57 pesos, si eres mexicano, el domingo es gratis.Una vez boleto en mano... a disfrutar del paseo !!! A la entrada, te encontrarás con una entrada diminuta por la que deberas pasar agachando la cabeza, una vez que cruzas... se abre frente a ti toda la serie de construcciones de la zona arqueologica de Tulum !!! El paseo es casi en circular para terminar en ""El castillo"" que tiene, a un costado, una escalera de madera que te permite el acceso a la playa. Foto obligada la del castillo y la playa !!!",4.0,Tulum,QuintanaRoo,Attractive
Desayunamos aquí y la tostada francesa era increíble! Este fue un lindo y pequeño café que era muy acogedor. Yo volvería de nuevo.,5.0,Isla_Mujeres,QuintanaRoo,Restaurant
"Nos hemos alojado en este hotel antes y nos gustó la ubicación, pero nos pareció que el mecanismo podría tener un lavado de cara. Uno siempre debe pregunta un hotel que requiere un depósito de 150 dólares y ahora sé ¿por qué. En nuestra reciente estancia en finales de diciembre nos acusó de haber roto un estante en la habitación. La estantería no estaba roto pero había venido y nos corregido. Por esto nos cobraron 143 dólares! desde nuestro depósito. luego exigieron hablar con el gerente no funcionaba en el sitio pero se negaron a llamarla. Estaba claro que el pobre personal no me atreví a cuestionar la decisión y sólo lamentamos que el hotel tiene una pésima liderazgo. Así que ahora entendemos cómo están tratando de financiar las reformas necesarias, acusando de dañar la",1.0,Isla_Mujeres,QuintanaRoo,Hotel
"La comida es pesima y el servicio de lo peor, no recomiendo, ademas de caro, el lugar si es muy padre, pero solo eso.

Le comente a un mesero del servicio y me dijo ""De eso se quejan siempre, joven""",1.0,Teotihuacan,Estado_de_Mexico,Restaurant
"Tiene muy mala presentación, con mal olor y apariencia sucia aunque con buena atención de su personal. No me invita a regresar y realmente creo que es indispensable una remodelación y cuidar los vapores del drenaje.",2.0,Tlaquepaque,Jalisco,Hotel
"Vale la pena subir!! Es algo cansado pero el estar arriba vale la pena, lleva zapato cómodo y agua para el trayecto.",5.0,Tepoztlan,Morelos,Attractive
"Increíble el concepto Mexicano 100% con deliciosa comida y una decoración con cuadros muy buenos...
El patio hace el lugar súper cómodo, ambiente familiar y un increíble sazón.

RECOMENDADO",4.0,Cholula,Puebla,Restaurant
"Todo está muy rico, los cortes son exquisitos, la picaña y la costilla al horno son una maravilla, de bebidas lo más rico son las piñas coladas, ofrecen un excelente servicio, muy amables todos. Muy recomendable",5.0,Teotihuacan,Estado_de_Mexico,Restaurant
"Definitivamente una arquitectura digna de admirar,este templo como otros a sus alrededores, vale la pena visitarlos y convivir con ellos, seas o no creyente si disfrutas de la arquitectura en general, este lugar te va a gustar.",4.0,San_Cristobal_de_las_Casas,Chiapas,Attractive
"conocido ""Hotel California "" la canción de las águilas ha dejado un lugar en mi corazón por esta parada en santos todos. Aunque no está en el medio de la nada! Un pequeño pueblo de pequeñas tiendas no ha cambiado mucho durante los años ,...es un lugar divertido para ir de compras y tomar fotos de el viejo estilo bar y restaurante. Advertencia sobre las margaritas ... No puedo decir lo suficiente sobre cómo ""malo"" las margaritas. amargo, Agrio, barato tequila viene a la mente. solían tener una hermosa tequila botella que decía ""hotel California » pero no más. Prueba el lugar al otro lado de la calle ( tequila Sunrise) para una mejor comida y mejores margaritas.Más",3.0,TodosSantos,Baja_CaliforniaSur,Restaurant
"Desde el momento en que llegamos al hotel nos trataron increíblemente durante todas las vacaciones atención uniforme mostraron de todo el personal. Tratamiento de primera clase en el que nunca he experimentado en cualquier otro 5 estrellas> hotel en cualquier parte primera vez he dejado un hotel 100% contento con mi estancia en general. Si quieres relajarte, es el lugar perfecto La selección de comida fresca es una calidad un alto estándar Sin duda perderse este hotel y el personal. El zenserenity de gracias, espero volver de nuevo! Richie y Fiona Belfast, Irlanda",5.0,Tulum,QuintanaRoo,Hotel
Lucy y Diego son los mejores! Súper atentos y amables! Gracias a ellos nuestra cena fue mucho más placentera!,5.0,Tulum,QuintanaRoo,Restaurant
"Realmente m parece caro no corresponde precio calidad , lo que si valoro es que atienden tu solicitud si hay algún reclamo por parte de la Gerente Perrine y ella siempre estuvo pendiente , por otro lado Nevy extraordinaria terapeuta vale mucho la pena tomar un masaje con ella . Es muy buena y a mi me n abro",3.0,Bacalar,QuintanaRoo,Hotel
"Recomendado por la familia que estaba aquí hace dos semanas, deliciosa!
toston con ropa vieja, una visita obligada! ensalada de Vivian- almuerzo perfecta.
Gracias Vivian!",4.0,Isla_Mujeres,QuintanaRoo,Restaurant
"Las instalaciones estan bien, pero un mal servicio y muy mala comunicacion. Nos vendieron la noche con desayuno incluido y estando ahi, nos dijeron que no venia incluidos, al entregar la habitacion, nos dijeron que siempre si lo incluia. (Perdimos el beneficio).  Estabamos platicando en las palapas en la noche y nos pidieron que nos retiraramos por q ya habian cerrado la alberca y teniamos que irnos a nueatras habitaciones. Nos queda una mala imagen en servicio",2.0,Palenque,Chiapas,Hotel
"Nos detuvimos en Oscars mientras viajábamos por la isla. $3 te lleva una corona fría y US$ 10,00 te lleva un buen plato de nachos. Es un entorno único. La comida era buena y parecía un buen precio. 6 personas 6 cervezas, 3 placas de...nachos y un plato de Tacos para 72.00Más",4.0,Isla_Mujeres,QuintanaRoo,Restaurant
"Excelente servicio en posada don Bosco  Limpio,que es lo que buscamos y comida tradicional todo muy rico y el tradicional  el chocolate de metate lo hace parecer mejor por su esquí sito sabor y lugar es muy tradicional que demuestra nuestras sabores colores y tradiciones mexicanas .. Es un lugar hermoso para recomendar",2.0,Patzcuaro,Michoacan,Hotel
"Lugar muy simple, comida estándar, quizás buen lugar si te gusta la banda a todo volumen, ambiente familiar, no tenían ningún cóctel que mencionaban en la carta, las bebidas tardaron mucho, personal grosero en general mal servicio",1.0,Bacalar,QuintanaRoo,Restaurant
"estado viniendo a este restaurante ya que a principios de la década de los 80. Me encanta sentarse bajo el árbol escuchando los sonidos locales saboreando un buen tequila. Este año me pareció que la calidad de la comida ha disminuido, no cantidad, pero el...sabor marinero donde parecía menos casera y más empaquetada. Aún así, disfruté de mi ahogada Torta, el guacamole, impresionante fundido (sans el squash Blossom), la birria. El huitlacoche le faltaba a las gorditas y la sangría era terrible.Más",2.0,Tlaquepaque,Jalisco,Restaurant
"Es algo que no se ve siempre pero si vas con niños pequeños, algunas estatuas de duendes pueden dar un poco de miedo, dura muy poquito",3.0,Huasca_de_Ocampo,Hidalgo,Attractive
"Estuvimos 3 noches, fuimos un grupo de 6 personas, las instalaciones del hotel y las comidas preparadas en las instalaciones son muy buenas! El problema principal es el servicio y no es porque el personal sea malo, sino simplemente no se dan abasto, a todos los ves activos y colaborativos pero a simple vista se ve que están sobrepasados. El check in tardó más de 1 hora en asignarnos habitación y todos los pedidos en servicio al cuarto se tardan mínimo una hora y media. Desconozco si todos los hoteles están en esta situación pero difícilmente volvería. Felicitaciones a Isabel y Ricardo por su excelente actitud de servicio.",3.0,Tulum,QuintanaRoo,Hotel
"Estuvimos en este hotel una noche, mi esposa, hija de 9  años y mi hijo de 2 años,  con la intención de conocer Valladolid y los cenotes, el hotel esta excelente, el cuarto muy limpio, baño moderno.. pero lo mejor de todo es el servicio, te tratan como en casa, por la mañana tomamos el desayuno y estaba riquísimo, en un pequeño jardín, hasta nos cuidaron al niño para que desayunaramos agusto. La ubicación inmejorable, en pleno centro.. Por otra parte el pueblo esta mágico... definitivamente volveremos el año que entra, y estaremos un par de noches... Gracias por su hospitalidad...",5.0,Valladolid,Yucatan,Hotel
Espectacular vista. Excelente servicio de todo el personal. Realmente inolvidable. La comida fantastica. Los chalets cuentan con tres pisos y muy acogedores. El spa es increible un poco caro pero vale la pena. Ampliaron el horario de la alberca hasta la una de la mañana. Es techada. Lo increible es que cuando caminas te encuentras un hermoso lugar donde estar. La iluminacion en la noche de la cascada es hermosa. En epoca de lluvia es una excelente opcion. Ya que hay muchas cosas dentro del hotel.,5.0,Valle_de_Bravo,Estado_de_Mexico,Hotel
"estuve hospedado en el hotel hace unas semanas y nos trataron súper, el hotel es muy cómodo y accesible, Arturo y su equipo hace que todo fluya en un súper ambiente y como en casa, la habitación es limpia, la comida excelente. El hotel esta cerca de la ona más concurrida de Tulum por ende solo rentas una bici y listo ya estas en el mood.  Gracias. Todos regresaremos pronto A Frank.",5.0,Tulum,QuintanaRoo,Hotel
"Decidimos pasar a comer con mi familia a Tlaquepaque , de camino a Guadalajara , somo extranjeros y preguntamos por un lugar típico y agradable . Caímos en este lugar que quiere ser bonito , pero que está muy mal en todo. Lo único bien...Más",1.0,Tlaquepaque,Jalisco,Restaurant
"He visitado un par de veces este lugar, y no se me hace de lo más increíble, como muchos mencionan. Lo recomiendo para pasar un día de campo, para aprovechar toodo el día, pero si es para conocer, no lo recomiendo.La entrada es muy cara pra lo que se ofrece.",3.0,Huasca_de_Ocampo,Hidalgo,Attractive
"Me quedé sorprendida con el tamaño de la quesadilla! Estaba riquísima y a muy buen precio, el agua natural deli deli. Un buen lugar para ir a comer cuando visites Sayulita.",4.0,Sayulita,Nayarit,Restaurant
"Por ser vacaciones el horario de apertura es a partir de las 12, lo cual me parece incorrecto, pues es cuando más turistas queremos ir. Abran más temprano en vacaciones!! Tuvimos que esperar y recorrer muy rápido, pues el check out del hotel era 12:30. ",3.0,San_Cristobal_de_las_Casas,Chiapas,Attractive
"Es muy importante que revises tu reservación porque las fotos de las habitaciones están muy mal manejadas. El personal es muy amable y servicial. Es un lugar muy limpio, aunque algunos aditamentos de las habitaciones no funcionan bien.",4.0,Patzcuaro,Michoacan,Hotel
"Mi esposa y yo nos alojamos aquí por 4 noches y disfrutamos de nuestra estancia. Teníamos una habitación con balcón, que era espaciosa y con mucha luz. Las habitaciones están decoradas con obras de artistas locales, que contribuyen a la riqueza de la estancia. Las habitaciones no son elegantes, pero son limpias, cómodas y todo funciona. El colchón era muy cómodo. Estaba muy caliente durante nuestra estancia, así que el aire acondicionado es silencioso y eficiente era muy de agradecer. Hay un gallo en la propiedad vecina que no lo hacen. gallos Nos gusta el sonido. Pero si eres un sueño muy ligero, pide una habitación que no tenga la exposición al sonido. Un desayuno preparado a pedido está incluido y es excelente. Además de huevos hay yogur casero, fruta fresca y zumo de",5.0,Tlaquepaque,Jalisco,Hotel
"Estuve hospedada en este hotel porque fue el hotel que eligieron los organizadores de la visita a Bacalar, el hotel es muy sencillo, las habitaciones no tienen agua caliente, sin embargo las personas son amables, estuve 2 noches hospedada, pude disfrutar de la alberca que es pequeña pero refrescante y de un desayuno de fruta, para llegar al muelle de la laguna hay que caminar como 8 cuadras. El ruido del que pregunta Tripadvisor es porque las personas llegan en la madrugada o se duermen tarde y se escucha todo el ruido.",3.0,Bacalar,QuintanaRoo,Hotel
"Puedes encontrar mucho mejores ofertas en otros lugares, sin las capas de suciedad, moho negro más negro y moho, había humedad camas, sábanas sucias, ruido del aire acondicionado, accesorios rotos, oxidados refrigeradores y mal mal servicio al cliente. Ahorra dinero.",1.0,Isla_Mujeres,QuintanaRoo,Hotel
Nunca volveré a intentar visitar este CenoteEl personal es grosero con muy mala vibra.El personal y el gerente de la entrada son groseros. Espera eso,1.0,Tulum,QuintanaRoo,Attractive
"Llegamos para el almuerzo. El servicio era correcta. Casi todo lo que pedimos, no tienen: - (almas han dejado, por desgracia no!
Los platos llegaron, la presentación era horrible, y el sabor no era como debería!...
Cuando van dirigidos a la factura, nos dijeron que...el CC no funcionaba. Como no teníamos dinero, de repente el cc máquina funcionaba bien.

Evita este lugar.Más",1.0,Zacatlan,Puebla,Restaurant
"El lugar es maravilloso, terraza encantadora.
Carecen de sentido común  para los platillos básicos  mexicanos, si bien es un lugar de comida Tailandesa también tienen otras opciones como tacos pero son servidos con tortilla de harina. Muy mal para los mexicanos acostumbrados a todo tipo...Más",2.0,Tulum,QuintanaRoo,Restaurant
"Me encanta la comida italiana con vino. Hemos estado aquí dos veces. Las comidas son más como aperitivos. No soy un gran tipo con un enorme apetito. Pero cuando lo hago me gusta cenar fuera a sentir satisfecho. Pedí algunas Con y no había mucho...que se sirve. De hecho, cuando salimos me sentí como parar en otro lugar para comer algo. Pero, debo decir. . En el con la salsa pesto era delicioso. Estacionamiento horrible. Aparcas lejos y caminar hasta el restaurante, a menos que el garaje está disponible cerca.Más",3.0,Ajijic,Jalisco,Restaurant
"Era de mis playas preferidas en la riviera, y ahora es la mas fea de todas las que visite. el sargado, las politicas de proteccion y todo estan arruinando mexico",1.0,Tulum,QuintanaRoo,Attractive
"Es un hotel sobre la playa de Tulum, con cierta antiguedad pero muy bien mantenido, a diferencia de otros establecimientos las habitaciones son muy amplias, todas con balcon, baño privado y living. Ademas ofrece media pension y limpian la playa todos los dias de las algas. Muy recomendable!",4.0,Tulum,QuintanaRoo,Hotel
